group,mae,max_abs,mse,n_values,rmse,task
left_arm,0.001058320317339894,0.022363483905792236,2.138592488373553e-06,57344,0.0014623927271337042,PnPNovelFromPlateToPanSplitA
left_hand,0.00032152381889916093,0.02535993978381157,5.338799211140511e-07,49152,0.0007306708705799424,PnPNovelFromPlateToPanSplitA
right_arm,0.0013260784962686298,0.03177165985107422,3.394348047568238e-06,57344,0.001842375653217399,PnPNovelFromPlateToPanSplitA
right_hand,0.0003060527885168085,0.04052305221557617,7.919188254192691e-07,49152,0.0008898982107068589,PnPNovelFromPlateToPanSplitA
waist,0.0013175979023844302,0.04125010967254639,3.554000760647434e-06,24576,0.0018852057608249116,PnPNovelFromPlateToPanSplitA
arms,0.0011774938619533795,0.023528113961219788,2.575422462933632e-06,114688,0.0016048122827713002,PnPNovelFromPlateToPlateSplitA
hands,0.0003187938279720637,0.029801826924085617,6.952306716234099e-07,98304,0.000833804936195157,PnPNovelFromPlateToPlateSplitA
left_arm,0.0010458092535754154,0.017504684627056122,2.0501332543993767e-06,57344,0.0014318286400262347,PnPNovelFromPlateToPlateSplitA
left_hand,0.00033089438317264924,0.022595182061195374,5.894147688866498e-07,49152,0.0007677335272649291,PnPNovelFromPlateToPlateSplitA
right_arm,0.0013091784703313434,0.023528113961219788,3.1007116714678878e-06,57344,0.0017608837756842124,PnPNovelFromPlateToPlateSplitA
right_hand,0.0003066932727714781,0.029801826924085617,8.010465743601702e-07,49152,0.0008950120526340247,PnPNovelFromPlateToPlateSplitA
waist,0.0013161433368574411,0.02568376064300537,3.388752343466645e-06,24576,0.0018408564157659458,PnPNovelFromPlateToPlateSplitA
arms,0.0011913467267008482,0.058563947677612305,2.9265761773653346e-06,114688,0.0017107238752543715,PnPNovelFromTrayToCardboardboxSplitA
hands,0.00031703780279620136,0.055991947650909424,7.783531487401457e-07,98304,0.0008822432480558555,PnPNovelFromTrayToCardboardboxSplitA
left_arm,0.001064182244365711,0.03070533275604248,2.382650984937025e-06,57344,0.0015435838120869967,PnPNovelFromTrayToCardboardboxSplitA
left_hand,0.00032518342345936685,0.032221000641584396,5.980640231698633e-07,49152,0.0007733459918884065,PnPNovelFromTrayToCardboardboxSplitA
right_arm,0.0013185112090359854,0.058563947677612305,3.4705013697936418e-06,57344,0.0018629281708626455,PnPNovelFromTrayToCardboardboxSplitA
right_hand,0.00030889218213303593,0.055991947650909424,9.586422743104268e-07,49152,0.0009791027904721887,PnPNovelFromTrayToCardboardboxSplitA
waist,0.001340803952620225,0.05477702617645264,4.307062400908459e-06,24576,0.002075346332761946,PnPNovelFromTrayToCardboardboxSplitA
arms,0.0012102704891339769,0.0358755886554718,3.012265131645247e-06,114688,0.001735587834609717,PnPNovelFromTrayToPlateSplitA
hands,0.0003565411028376708,0.08261096477508545,1.4391901703087173e-06,98304,0.0011996625235076394,PnPNovelFromTrayToPlateSplitA
left_arm,0.0010817073671587352,0.028202055022120476,2.4717051179876262e-06,57344,0.0015721657412587344,PnPNovelFromTrayToPlateSplitA
left_hand,0.00037461645485089196,0.08261096477508545,1.6003066988639991e-06,49152,0.0012650322916289525,PnPNovelFromTrayToPlateSplitA
right_arm,0.0013388336111092183,0.0358755886554718,3.552825145302865e-06,57344,0.0018848939347620769,PnPNovelFromTrayToPlateSplitA
right_hand,0.0003384657508244497,0.040349215269088745,1.2780736417534359e-06,49152,0.0011305191912362373,PnPNovelFromTrayToPlateSplitA
waist,0.0013730063016078968,0.049738261848688126,4.177541065911153e-06,24576,0.002043903389573772,PnPNovelFromTrayToPlateSplitA
arms,0.0011621144572308165,0.036623477935791016,2.5701410572425868e-06,114688,0.001603165948129696,PnPNovelFromTrayToPotSplitA
hands,0.00031116146299714487,0.028078436851501465,6.849211867489571e-07,98304,0.000827599653666528,PnPNovelFromTrayToPotSplitA
left_arm,0.0010410303702521923,0.03345799446105957,2.0747566277065825e-06,57344,0.0014404015508553795,PnPNovelFromTrayToPotSplitA
left_hand,0.0003241627529204649,0.019185738638043404,6.036968546553154e-07,49152,0.0007769793141746538,PnPNovelFromTrayToPotSplitA
right_arm,0.0012831985442094407,0.036623477935791016,3.0655254867785843e-06,57344,0.0017508642114049235,PnPNovelFromTrayToPotSplitA
right_hand,0.0002981601730738248,0.028078436851501465,7.661455188425987e-07,49152,0.0008752973888014283,PnPNovelFromTrayToPotSplitA
waist,0.001290413799554339,0.03400232642889023,3.3013561967455755e-06,24576,0.0018169634549834994,PnPNovelFromTrayToPotSplitA
arms,0.0011863609891862303,0.057294368743896484,3.0951739520761817e-06,114688,0.0017593106468376135,PnPNovelFromTrayToTieredbasketSplitA
hands,0.0003280410119118245,0.05873525142669678,8.897558330285056e-07,98304,0.0009432686960927441,PnPNovelFromTrayToTieredbasketSplitA
left_arm,0.0010553145420353666,0.057294368743896484,2.4731330872126315e-06,57344,0.001572619816488598,PnPNovelFromTrayToTieredbasketSplitA
left_hand,0.0003418550996013477,0.04752339422702789,8.36178084089582e-07,49152,0.0009144277358488106,PnPNovelFromTrayToTieredbasketSplitA
right_arm,0.001317407436337094,0.04106050729751587,3.717214816939734e-06,57344,0.0019280079919283878,PnPNovelFromTrayToTieredbasketSplitA
right_hand,0.0003142269242223013,0.05873525142669678,9.433335819674279e-07,49152,0.0009712536136187232,PnPNovelFromTrayToTieredbasketSplitA
waist,0.0013339212670947138,0.060473501682281494,4.218104603029157e-06,24576,0.0020538024741997844,PnPNovelFromTrayToTieredbasketSplitA
arms,0.0011748638945428627,0.03122800588607788,2.629999747671231e-06,114688,0.0016217273962263914,PnPNovelFromTrayToTieredshelfSplitA
hands,0.0003241558431587392,0.04132944345474243,8.74442539109044e-07,98304,0.0009351163238384004,PnPNovelFromTrayToTieredshelfSplitA
left_arm,0.001052254626207727,0.01941046118736267,2.128022444374008e-06,57344,0.0014587742952129395,PnPNovelFromTrayToTieredshelfSplitA
left_hand,0.00033913925373285636,0.032804928719997406,7.772384478663697e-07,49152,0.0008816112793438896,PnPNovelFromTrayToTieredshelfSplitA
right_arm,0.0012974731628779981,0.03122800588607788,3.1319770509684558e-06,57344,0.001769739260729799,PnPNovelFromTrayToTieredshelfSplitA
right_hand,0.00030917243258462196,0.04132944345474243,9.716466303517185e-07,49152,0.0009857213756187487,PnPNovelFromTrayToTieredshelfSplitA
waist,0.001299601986927949,0.028826996684074402,3.368755318815369e-06,24576,0.0018354169332376142,PnPNovelFromTrayToTieredshelfSplitA
arms,0.0019758069729266686,0.04281562566757202,9.952759946939865e-06,114688,0.00315479950978503,PnPPotatoToMicrowaveClose
hands,0.0017223886565389535,0.12242394685745239,4.017585923079868e-05,98304,0.006338442965807824,PnPPotatoToMicrowaveClose
left_arm,0.0018197307528673434,0.03547994792461395,8.237559317779404e-06,57344,0.0028701148614261774,PnPPotatoToMicrowaveClose
left_hand,0.002182271147342855,0.12195754051208496,6.248185140904551e-05,49152,0.007904546249408976,PnPPotatoToMicrowaveClose
right_arm,0.0021318831929859933,0.04281562566757202,1.1667960576100307e-05,57344,0.0034158396590150872,PnPPotatoToMicrowaveClose
right_hand,0.0012625061657350518,0.12242394685745239,1.786986705255198e-05,49152,0.004227276552646157,PnPPotatoToMicrowaveClose
waist,0.0023656027302247176,0.030747484415769577,1.3777855923287394e-05,24576,0.0037118534350493145,PnPPotatoToMicrowaveClose
arms,0.002071135507173733,0.05034776031970978,9.697221854534495e-06,114688,0.0031140362641649657,PnPWineToCabinetClose
hands,0.0018163005779167445,0.11876481771469116,4.853331491349363e-05,98304,0.006966585599380347,PnPWineToCabinetClose
left_arm,0.0019354903600326625,0.03417325019836426,8.42866855280386e-06,57344,0.0029032169317506845,PnPWineToCabinetClose
left_hand,0.0024282329457747664,0.11876481771469116,8.293296532795802e-05,49152,0.009106753830424868,PnPWineToCabinetClose
right_arm,0.0022067806543148044,0.05034776031970978,1.0965775156265123e-05,57344,0.003311461181452249,PnPWineToCabinetClose
right_hand,0.0012043682100587223,0.11656099557876587,1.413366449902926e-05,49152,0.0037594766256793324,PnPWineToCabinetClose
waist,0.0024249710835964797,0.03507165610790253,1.334451169862471e-05,24576,0.0036530140567242156,PnPWineToCabinetClose
