group,mae,max_abs,mse,n_values,rmse,task
left_hand,0.0003781616057191665,0.005026817321777344,3.1876877437748345e-07,1536,0.0005645961161551534,PnPNovelFromTrayToTieredbasketSplitA
right_arm,0.005990058685321336,0.06326327472925186,7.274922878402561e-05,1792,0.008529315845015097,PnPNovelFromTrayToTieredbasketSplitA
right_hand,0.0005013897278634735,0.007184863090515137,7.453442218878862e-07,1536,0.0008633332044395641,PnPNovelFromTrayToTieredbasketSplitA
waist,0.004643045069921452,0.09143832325935364,7.390753585429087e-05,768,0.00859694921784995,PnPNovelFromTrayToTieredbasketSplitA
arms,0.005251962335518913,0.041262224316596985,5.1094260053026655e-05,3584,0.007148024905736315,PnPNovelFromTrayToTieredshelfSplitA
hands,0.00039195799040688445,0.004147827625274658,3.713256420073256e-07,3072,0.0006093649497692869,PnPNovelFromTrayToTieredshelfSplitA
left_arm,0.0049520341415083225,0.041262224316596985,4.829071206071398e-05,1792,0.006949151895067051,PnPNovelFromTrayToTieredshelfSplitA
left_hand,0.00036565671931991045,0.0035152435302734375,2.8699925066141965e-07,1536,0.0005357231100684566,PnPNovelFromTrayToTieredshelfSplitA
right_arm,0.005551890529529503,0.04010695219039917,5.3897808045339335e-05,1792,0.00734151265376144,PnPNovelFromTrayToTieredshelfSplitA
right_hand,0.0004182592614938585,0.004147827625274658,4.5565203335323164e-07,1536,0.0006750200244090775,PnPNovelFromTrayToTieredshelfSplitA
waist,0.0035939948647865094,0.047705963253974915,2.7463940879371773e-05,768,0.005240605010814283,PnPNovelFromTrayToTieredshelfSplitA
arms,0.02784459783846874,0.1187947690486908,0.001210915952192065,3584,0.034798217658266135,PnPPotatoToMicrowaveClose
hands,0.00883788401114316,0.10264915227890015,0.00017546663978703245,3072,0.013246382139551632,PnPPotatoToMicrowaveClose
left_arm,0.028951768686446094,0.1187947690486908,0.001296731072915934,1792,0.036010152358965854,PnPPotatoToMicrowaveClose
left_hand,0.013233888040607175,0.10264915227890015,0.00031009442841195556,1536,0.017609498244185028,PnPPotatoToMicrowaveClose
right_arm,0.02673742699049139,0.10318806767463684,0.0011251008314681966,1792,0.03354252273559931,PnPPotatoToMicrowaveClose
right_hand,0.004441879981679146,0.02718937397003174,4.083885116210935e-05,1536,0.006390528238112194,PnPPotatoToMicrowaveClose
waist,0.02416047886799788,0.11163727939128876,0.0010331582164877665,768,0.032142778605586765,PnPPotatoToMicrowaveClose
arms,0.024052137544491155,0.10258036851882935,0.0009491429338900415,3584,0.03080816342935816,PnPWineToCabinetClose
hands,0.00720141090748901,0.06490153074264526,9.481516429155064e-05,3072,0.009737307856463748,PnPWineToCabinetClose
left_arm,0.023608623319172954,0.09947174787521362,0.0008901591199370071,1792,0.029835534517367156,PnPWineToCabinetClose
left_hand,0.009068446117453277,0.06490153074264526,0.0001365067134022277,1536,0.011683608749107772,PnPWineToCabinetClose
right_arm,0.02449565176980936,0.10258036851882935,0.0010081267478430757,1792,0.03175101176093568,PnPWineToCabinetClose
right_hand,0.005334375697524744,0.027481436729431152,5.312361518087361e-05,1536,0.007288594870129194,PnPWineToCabinetClose
waist,0.024068352087245632,0.0966385006904602,0.0007932123622643876,768,0.02816402603081434,PnPWineToCabinetClose
